link,quote,rank,rate,star,title
https://movie.douban.com/subject/1305487/,骗子大师和执著警探的你追我跑故事。 ,92,261890人评价,8.8,猫鼠游戏
https://movie.douban.com/subject/1297192/,最不可能的那个人永远是最可能的。,93,353515人评价,8.7,致命ID
https://movie.douban.com/subject/1418834/,每个人心中都有一座断背山。,94,353270人评价,8.7,断背山
https://movie.douban.com/subject/1316510/,百看不厌。 ,95,304145人评价,8.7,射雕英雄传之东成西就
https://movie.douban.com/subject/1305164/,相逢只要一瞬间，等待却像是一辈子。,96,253947人评价,8.8,甜蜜蜜
https://movie.douban.com/subject/1292434/,我们都曾经是一一。,97,171192人评价,8.9,一一
https://movie.douban.com/subject/4268598/,没有一人完全善，也没有一人完全恶。,98,376517人评价,8.7,告白
https://movie.douban.com/subject/4917726/,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,99,296582人评价,8.8,阳光姐妹淘
https://movie.douban.com/subject/1298070/,约翰尼·德普的独角戏。,100,383344人评价,8.6,加勒比海盗
https://movie.douban.com/subject/3008247/,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,101,169244人评价,8.9,穿条纹睡衣的男孩
https://movie.douban.com/subject/1292208/,被上帝抛弃了的上帝之城。,102,170110人评价,8.9,上帝之城
https://movie.douban.com/subject/1294371/,大时代中的人生，小人物的悲喜。,103,100908人评价,9.2,摩登时代
https://movie.douban.com/subject/1652587/,绝对意义上的美轮美奂。,104,579885人评价,8.6,阿凡达
https://movie.douban.com/subject/1296339/,缘分是个连绵词，最美不过一瞬。,105,244975人评价,8.7,爱在黎明破晓前
https://movie.douban.com/subject/21318488/,年度最佳date movie。,106,396916人评价,8.7,消失的爱人
https://movie.douban.com/subject/1291585/,动画片的圣经。,107,193182人评价,8.8,风之谷
https://movie.douban.com/subject/1291990/,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,108,218221人评价,8.7,爱在日落黄昏时
https://movie.douban.com/subject/1297052/,少女情怀总是诗。,109,187543人评价,8.8,侧耳倾听
https://movie.douban.com/subject/5322596/,穷尽一生，我们要学会的，不过是彼此拥抱。,110,193411人评价,8.8,超脱
https://movie.douban.com/subject/1865703/,梦的勾结。,111,151775人评价,8.9,红辣椒
https://movie.douban.com/subject/21360417/,恐怖分子的“秋菊打官司”。,112,251099人评价,8.7,恐怖直播
https://movie.douban.com/subject/1297447/,两张绝世的脸。 ,113,284053人评价,8.6,倩女幽魂
https://movie.douban.com/subject/25814705/,那些静得只能听见呼吸的日子里，你明白孤独即生活。,114,151698人评价,8.9,小森林 夏秋篇
https://movie.douban.com/subject/2353023/,和谐的生活离不开摸头与被摸头。,115,312702人评价,8.7,驯龙高手
https://movie.douban.com/subject/1302425/,我是一个演员。,116,353907人评价,8.5,喜剧之王
https://movie.douban.com/subject/1293359/,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,117,203264人评价,8.7,菊次郎的夏天
https://movie.douban.com/subject/1292274/,有时候幸福需要等一等。 ,118,244866人评价,8.7,幸福终点站
https://movie.douban.com/subject/1293318/,幸福是生生不息，却难以触及的远。 ,119,222423人评价,8.7,萤火虫之墓
https://movie.douban.com/subject/4202302/,曾经的那段美好会沉淀为一辈子的记忆。,120,238551人评价,8.7,借东西的小人阿莉埃蒂
https://movie.douban.com/subject/3792799/,岁月流逝，来日可追。,121,330025人评价,8.6,岁月神偷
https://movie.douban.com/subject/1295399/,时代悲歌。,122,84958人评价,9.2,七武士
https://movie.douban.com/subject/1300299/,关于连环杀人悬案的集体回忆。,123,228556人评价,8.7,杀人回忆
https://movie.douban.com/subject/3287562/,Mr. I Don't Care其实也有Care的时候。,124,416218人评价,8.5,神偷奶爸
https://movie.douban.com/subject/1303037/,中国家庭的喜怒哀乐忍。,125,153867人评价,8.8,喜宴
https://movie.douban.com/subject/2209573/,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,126,422686人评价,8.5,贫民窟的百万富翁
https://movie.douban.com/subject/1417598/,真相就在眼前。,127,214862人评价,8.7,电锯惊魂
https://movie.douban.com/subject/1292401/,爱，是个动词。,128,338591人评价,8.5,真爱至上
https://movie.douban.com/subject/1578507/,像吃了苏打饼一样干脆的电影。,129,195354人评价,8.7,谍影重重3
https://movie.douban.com/subject/3443389/,大海啊，不全是水。,130,104068人评价,9.0,海洋
https://movie.douban.com/subject/1292328/,电影诗。,131,273737人评价,8.6,东邪西毒
https://movie.douban.com/subject/1304447/,一个针管引发的血案。,132,301883人评价,8.5,记忆碎片
https://movie.douban.com/subject/1291579/,不要给它起名字，起了名字就有感情了。,133,264927人评价,8.6,怪兽电力公司
https://movie.douban.com/subject/1291870/,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,134,224187人评价,8.6,雨人
https://movie.douban.com/subject/1978709/,黑暗之美。,135,450045人评价,8.5,黑天鹅
https://movie.douban.com/subject/1907966/,老少皆宜，这就是好莱坞动画的魅力。,136,399298人评价,8.7,疯狂原始人
https://movie.douban.com/subject/1291822/,当这个世界闭上双眼，他却敞开了怀抱。,137,130678人评价,8.9,卢旺达饭店
https://movie.douban.com/subject/1295865/,传奇，不是每个人都可以拥有。,138,157149人评价,8.7,燃情岁月
https://movie.douban.com/subject/1297574/,英雄泪短，兄弟情长。 ,139,186265人评价,8.6,英雄本色
https://movie.douban.com/subject/1296909/,永远看不腻的喜剧。,140,114404人评价,8.9,虎口脱险
https://movie.douban.com/subject/25814707/,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,141,131684人评价,8.9,小森林 冬春篇
https://movie.douban.com/subject/10777687/,《我是山姆》的《美丽人生》。,142,195750人评价,8.7,7号房的礼物
https://movie.douban.com/subject/3011235/,10年的完美句点。,143,297196人评价,8.7,哈利·波特与死亡圣器(下)
https://movie.douban.com/subject/1418200/,爱是摈弃傲慢与偏见之后的曙光。,144,329461人评价,8.5,傲慢与偏见
https://movie.douban.com/subject/24750126/,始于荒诞，止于更荒诞。,145,158403人评价,8.8,荒蛮故事
https://movie.douban.com/subject/25917973/,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,146,196726人评价,8.6,心迷宫
https://movie.douban.com/subject/5989818/,触不到的恋人。,147,174621人评价,8.7,萤火之森
https://movie.douban.com/subject/1309163/,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,148,308096人评价,8.5,恋恋笔记本
https://movie.douban.com/subject/1300992/,坏人的好总是比好人的好来得更感人。,149,89486人评价,9.0,完美的世界
https://movie.douban.com/subject/1294240/,任何信念的力量，都无法改变命运。,150,142711人评价,8.8,教父3
https://movie.douban.com/subject/1295409/,香港浪漫主义警匪动作片的巅峰之作。,151,161663人评价,8.7,纵横四海
https://movie.douban.com/subject/25980443/,我们都有权利不与自己的过去和解。,152,217446人评价,8.6,海边的曼彻斯特
https://movie.douban.com/subject/1291557/,偷情本没有这样美。,153,267879人评价,8.5,花样年华
https://movie.douban.com/subject/1858711/,跨度十五年的欢乐与泪水。,154,205962人评价,8.8,玩具总动员3
https://movie.douban.com/subject/1292528/,不可猜的青春迷笛。 ,155,263934人评价,8.5,猜火车
https://movie.douban.com/subject/1293964/,中国式内在的美国电影。,156,138147人评价,8.8,魂断蓝桥
https://movie.douban.com/subject/1937946/,爱上未来的你。 ,157,198870人评价,8.6,穿越时空的少女
